BCAST_TYPE,PACKET_SIZE,N_PACKETS,N_BOUNCES,NODE,PROCESS,SRC,DST,TAG,COM_TIME,RUNNING_TIME
,8000000, 10000,, lab004-075, 4, 4, 0, 4, 600.814146,600.8141770363
,8000000, 10000,,lab004-074, 0, 0, 4, 4, 600.815051,600.8150808811
,8000000, 10000,, lab004-075, 5, 5, 1, 6, 612.642385,612.6424150467
,8000000, 10000,,lab004-074, 1, 1, 5, 6, 612.643219,612.6432490349
,8000000, 10000,, lab004-075, 6, 6, 2, 8, 673.062813,673.0628359318
,8000000, 10000,,lab004-074, 2, 2, 6, 8, 673.063498,673.0635230541
,8000000, 10000,, lab004-075, 7, 7, 3, 10, 685.082211,685.0822410583
,8000000, 10000,,lab004-074, 3, 3, 7, 10, 685.082811,685.0828459263
,80000, 10000,, lab004-075, 4, 4, 0, 4, 6.820929,6.8209621906
,80000, 10000,,lab004-074, 0, 0, 4, 4, 6.821452,6.8214848042
,80000, 10000,, lab004-075, 5, 5, 1, 6, 6.840492,6.8405108452
,80000, 10000,,lab004-074, 1, 1, 5, 6, 6.841043,6.8410668373
,80000, 10000,, lab004-075, 6, 6, 2, 8, 6.846495,6.8465158939
,80000, 10000,,lab004-074, 2, 2, 6, 8, 6.847074,6.8470959663
,80000, 10000,, lab004-075, 7, 7, 3, 10, 6.856763,6.8567810059
,80000, 10000,,lab004-074, 3, 3, 7, 10, 6.857357,6.8573718071
,8000, 10000,, lab004-075, 5, 5, 1, 6, 0.669518,0.6695408821
,8000, 10000,, lab004-075, 7, 7, 3, 10, 0.671820,0.6718370914
,8000, 10000,,lab004-074, 1, 1, 5, 6, 0.669773,0.6697988510
,8000, 10000,,lab004-074, 3, 3, 7, 10, 0.671946,0.6719620228
,8000, 10000,, lab004-075, 4, 4, 0, 4, 0.682016,0.6820330620
,8000, 10000,,lab004-074, 0, 0, 4, 4, 0.682103,0.6821208000
,8000, 10000,, lab004-075, 6, 6, 2, 8, 0.693031,0.6930489540
,8000, 10000,,lab004-074, 2, 2, 6, 8, 0.693258,0.6932749748
,8000000, 1000,, lab004-075, 5, 5, 1, 6, 62.211279,62.2113101482
,8000000, 1000,,lab004-074, 1, 1, 5, 6, 62.211255,62.2112870216
,8000000, 1000,, lab004-075, 6, 6, 2, 8, 67.582236,67.5822668076
,8000000, 1000,,lab004-074, 2, 2, 6, 8, 67.582254,67.5822861195
,8000000, 1000,, lab004-075, 7, 7, 3, 10, 67.898113,67.8981399536
,8000000, 1000,,lab004-074, 3, 3, 7, 10, 67.898193,67.8982231617
,8000000, 1000,, lab004-075, 4, 4, 0, 4, 68.511066,68.5110931396
,8000000, 1000,,lab004-074, 0, 0, 4, 4, 68.511134,68.5111639500
,80000, 1000,, lab004-075, 7, 7, 3, 10, 0.635343,0.6353631020
,80000, 1000,,lab004-074, 3, 3, 7, 10, 0.635901,0.6359272003
,80000, 1000,, lab004-075, 4, 4, 0, 4, 0.658522,0.6585378647
,80000, 1000,,lab004-074, 0, 0, 4, 4, 0.658853,0.6588709354
,80000, 1000,, lab004-075, 5, 5, 1, 6, 0.681990,0.6820161343
,80000, 1000,,lab004-074, 1, 1, 5, 6, 0.682456,0.6824738979
,80000, 1000,, lab004-075, 6, 6, 2, 8, 0.685945,0.6859610081
,80000, 1000,,lab004-074, 2, 2, 6, 8, 0.686289,0.6863059998
,8000, 1000,, lab004-075, 7, 7, 3, 10, 0.061486,0.0615041256
,8000, 1000,, lab004-075, 5, 5, 1, 6, 0.064156,0.0641717911
,8000, 1000,,lab004-074, 3, 3, 7, 10, 0.061578,0.0616002083
,8000, 1000,,lab004-074, 1, 1, 5, 6, 0.064279,0.0642938614
,8000, 1000,, lab004-075, 4, 4, 0, 4, 0.069566,0.0695819855
,8000, 1000,, lab004-075, 6, 6, 2, 8, 0.069828,0.0698430538
,8000, 1000,,lab004-074, 0, 0, 4, 4, 0.069793,0.0698101521
,8000, 1000,,lab004-074, 2, 2, 6, 8, 0.070105,0.0701208115
,8000000, 5000,, lab004-075, 4, 4, 0, 4, 293.788805,293.7888338566
,8000000, 5000,,lab004-074, 0, 0, 4, 4, 293.788789,293.7888190746
,8000000, 5000,, lab004-075, 6, 6, 2, 8, 302.389318,302.3893508911
,8000000, 5000,,lab004-074, 2, 2, 6, 8, 302.389400,302.3894309998
,8000000, 5000,, lab004-075, 7, 7, 3, 10, 337.026458,337.0264887810
,8000000, 5000,,lab004-074, 3, 3, 7, 10, 337.026607,337.0266427994
,8000000, 5000,, lab004-075, 5, 5, 1, 6, 342.631880,342.6319139004
,8000000, 5000,,lab004-074, 1, 1, 5, 6, 342.632072,342.6321067810
,80000, 5000,, lab004-075, 4, 4, 0, 4, 3.401467,3.4014899731
,80000, 5000,,lab004-074, 0, 0, 4, 4, 3.401728,3.4017539024
,80000, 5000,, lab004-075, 6, 6, 2, 8, 3.419564,3.4195950031
,80000, 5000,, lab004-075, 7, 7, 3, 10, 3.423767,3.4237840176
,80000, 5000,,lab004-074, 2, 2, 6, 8, 3.419850,3.4198679924
,80000, 5000,,lab004-074, 3, 3, 7, 10, 3.423838,3.4238538742
,80000, 5000,, lab004-075, 5, 5, 1, 6, 3.428775,3.4287898540
,80000, 5000,,lab004-074, 1, 1, 5, 6, 3.429069,3.4290869236
,8000, 5000,, lab004-075, 5, 5, 1, 6, 0.342478,0.3425040245
,8000, 5000,, lab004-075, 7, 7, 3, 10, 0.342669,0.3426899910
,8000, 5000,, lab004-075, 6, 6, 2, 8, 0.342981,0.3430168629
,8000, 5000,,lab004-074, 1, 1, 5, 6, 0.342744,0.3427689075
,8000, 5000,,lab004-074, 3, 3, 7, 10, 0.342733,0.3427498341
,8000, 5000,,lab004-074, 2, 2, 6, 8, 0.343253,0.3432688713
,8000, 5000,, lab004-075, 4, 4, 0, 4, 0.346722,0.3467400074
,8000, 5000,,lab004-074, 0, 0, 4, 4, 0.346785,0.3468008041
